               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.042671,            0.040147,           0.0037704,             0.81114,             0.77872,             0.82727,             0.47671,            0.036507,            0.021078,           0.0010446,            0.007525,            0.007525,            0.007525
                  47,            0.042242,            0.039674,           0.0035403,             0.80734,             0.77915,              0.8294,             0.47826,            0.036353,            0.020825,           0.0010409,             0.00747,             0.00747,             0.00747
                  48,            0.042137,              0.0399,           0.0035597,             0.79419,              0.7726,             0.82374,             0.46608,            0.036469,            0.021192,           0.0010833,            0.007415,            0.007415,            0.007415
                  49,            0.042053,            0.039876,           0.0036821,             0.81953,              0.7869,             0.84373,             0.48795,            0.035851,            0.020508,          0.00092084,             0.00736,             0.00736,             0.00736
                  50,            0.041827,            0.040719,             0.00345,             0.81694,             0.79474,             0.84663,                0.49,            0.035538,            0.020336,          0.00093513,            0.007305,            0.007305,            0.007305
                  51,            0.041715,             0.03956,           0.0035844,             0.80853,              0.7877,              0.8392,             0.48786,            0.035735,            0.020854,          0.00099723,             0.00725,             0.00725,             0.00725
                  52,            0.041624,            0.039897,           0.0035441,             0.81809,             0.79738,             0.84976,             0.49334,            0.035689,            0.020174,          0.00096346,            0.007195,            0.007195,            0.007195
                  53,            0.041432,            0.039272,            0.003527,             0.80828,             0.79601,              0.8418,             0.48841,            0.035769,            0.020583,           0.0009523,             0.00714,             0.00714,             0.00714
                  54,             0.04141,            0.039391,           0.0034475,             0.83066,             0.79946,             0.85468,              0.5062,            0.035217,            0.020008,          0.00086559,            0.007085,            0.007085,            0.007085
                  55,            0.041207,            0.038626,           0.0035923,             0.83608,             0.81545,             0.86323,             0.51219,            0.034896,            0.020043,          0.00089388,             0.00703,             0.00703,             0.00703
                  56,            0.041493,            0.039288,           0.0033143,             0.82629,             0.80809,             0.85898,              0.5023,            0.035429,            0.020248,          0.00085453,            0.006975,            0.006975,            0.006975
                  57,            0.041077,            0.039279,           0.0033059,             0.83013,             0.81001,             0.86477,             0.51664,            0.034331,            0.019732,          0.00082104,             0.00692,             0.00692,             0.00692
                  58,            0.041169,            0.039548,           0.0032767,             0.84212,             0.81264,             0.86929,             0.51473,            0.034648,            0.019592,          0.00076333,            0.006865,            0.006865,            0.006865
